Date,Open,High,Low,Close,Volume,Adj Close
7/10/2015,121.940002,123.849998,121.209999,123.279999,61354500,119.541702
7/9/2015,123.849998,124.059998,119.220001,120.07,77821600,116.429042
7/8/2015,124.480003,124.639999,122.540001,122.57,60761600,118.853233
7/7/2015,125.889999,126.150002,123.769997,125.690002,46946800,121.878626
7/6/2015,124.940002,126.230003,124.849998,126,28060400,122.179223
7/2/2015,126.43,126.690002,125.769997,126.440002,27211000,122.605883
7/1/2015,126.900002,126.940002,125.989998,126.599998,30238800,122.761028
6/30/2015,125.57,126.120003,124.860001,125.43,44370700,121.626508
6/29/2015,125.459999,126.470001,124.480003,124.529999,49161400,120.753798
6/26/2015,127.669998,127.989998,126.510002,126.75,44066800,122.906481
6/25/2015,128.860001,129.199997,127.5,127.5,31938100,123.633738
6/24/2015,127.209999,129.800003,127.120003,128.110001,55280900,124.225241
6/23/2015,127.480003,127.610001,126.879997,127.029999,30268900,123.177989
6/22/2015,127.489998,128.059998,127.080002,127.610001,34039300,123.740403
6/19/2015,127.709999,127.82,126.400002,126.599998,54716900,122.761028
6/18/2015,127.230003,128.309998,127.220001,127.879997,35407200,124.002212
6/17/2015,127.720001,127.879997,126.739998,127.300003,32918100,123.439806
6/16/2015,127.029999,127.849998,126.370003,127.599998,31494100,123.730704
6/15/2015,126.099998,127.239998,125.709999,126.919998,43988900,123.071324
6/12/2015,128.190002,128.330002,127.110001,127.169998,36886200,123.313743
6/11/2015,129.179993,130.179993,128.479996,128.589996,35390900,124.690682
6/10/2015,127.919998,129.339996,127.849998,128.880005,39087300,124.971896
6/9/2015,126.699997,128.080002,125.620003,127.419998,56075400,123.556162
6/8/2015,128.899994,129.210007,126.830002,127.800003,52674800,123.924644
6/5/2015,129.5,129.690002,128.360001,128.649994,35626800,124.74886
6/4/2015,129.580002,130.580002,128.910004,129.360001,38450100,125.437337
6/3/2015,130.660004,130.940002,129.899994,130.119995,30889400,126.174285
6/2/2015,129.860001,130.660004,129.320007,129.960007,33667600,126.019148
6/1/2015,130.279999,131.389999,130.050003,130.539993,32112800,126.581548
5/29/2015,131.229996,131.449997,129.899994,130.279999,50884500,126.329437
5/28/2015,131.860001,131.949997,131.100006,131.779999,30733300,127.783952
5/27/2015,130.339996,132.259995,130.050003,132.039993,45833200,128.036062
5/26/2015,132.600006,132.910004,129.119995,129.619995,70697600,125.689447
5/22/2015,131.600006,132.970001,131.399994,132.539993,45596000,128.5209
5/21/2015,130.070007,131.630005,129.830002,131.389999,39730400,127.405778
